subjectId,الاسم في الملف (خطأ),وحدات,دروس,المادة (مقترحة),ثقة,الصف — املأه,عينة وحدات
1158,مدخل علم الاقتصاد,6,24,الاجتماعيات,22,,مدخل علم الاقتصاد | المشكلة الاقتصادية | العرض والطلب | التنمية الاقتصادية | التجارة الدولية
1150,أساسيات الإدارة,7,32,الاجتماعيات,7,,أساسيات الإدارة | التخطيط | التنظيم | المنشآت الصغيرة | الاتصال الإداري
3578,تنمية الوعي المجتمعي و الولاء الوطني,5,24,الاجتماعيات,3,,تنمية الوعي المجتمعي و الولاء الوطني | مهارات استثمار الوقت | مهارات تدعيم الاستقرار الأسري و تفعيل الأدوار و المسؤوليات | مهارات التفكير | المهارات الشخصية و الاجتماعية
110,التوعية الصحية1,10,30,التربية الصحية والبدنية,9,,التوعية الصحية1 | المهارات الحياتية1 | المهارات الأسرية | الأمن والسلامة | الغذاء والتغذية1
182,التوعية الصحية1,10,32,التربية الصحية والبدنية,9,,التوعية الصحية1 | المهارات الحياتية1 | المهارات الأسرية | الأمن والسلامة | الغذاء والتغذية1
4244,المهارات الحياتية,10,30,التربية الصحية والبدنية,9,,المهارات الحياتية | المهارات الأسرية | الغذاء والتغذية | التوعية الصحية | الأمن والسلامة
4301,المهارات الحياتية1,10,32,التربية الصحية والبدنية,9,,المهارات الحياتية1 | المهارات الأسرية | العناية الملبسية | التوعية الصحية | الغذاء والتغذية
241,التوعية الصحية1,10,31,التربية الصحية والبدنية,8,,التوعية الصحية1 | المهارات الحياتية1 | المهارات الاجتماعية | الأمن والسلامة | الغذاء والتغذية1
364,صحتي وسلامتي1,7,14,التربية الصحية والبدنية,8,,صحتي وسلامتي1 | وقتي1 | شخصيتي1 | غذائي | صحتي وسلامتي
4020,المهارات الحياتية,10,31,التربية الصحية والبدنية,8,,المهارات الحياتية | المهارات الأسرية | الغذاء والتغذية | التوعية الصحية | العناية الملبسية
4402,صحتي وسلامتي,7,14,التربية الصحية والبدنية,8,,صحتي وسلامتي | شخصيتي | وقتي | صحتي وسلامتي1 | وقتي1
1481,الغذاء و التغذية,7,19,التربية الصحية والبدنية,6,,الغذاء و التغذية | الصحة العامة | التجميل | الأمومة و الطفولة | الثقافة الملبسية
338,صحتي وسلامتي1,6,13,التربية الصحية والبدنية,4,,صحتي وسلامتي1 | شخصيتي1 | غذائي | صحتي و سلامتي | شخصيتي
4396,صحتي و سلامتي,6,13,التربية الصحية والبدنية,4,,صحتي و سلامتي | شخصيتي | وقتي | صحتي وسلامتي1 | شخصيتي1
301,صحتي وسلامتي1,7,14,التربية الصحية والبدنية,3,,صحتي وسلامتي1 | شخصيتي1 | وقتي1 | غذائي | صحتي وسلامتي
408,صحتي وسلامتي1,9,20,التربية الصحية والبدنية,3,,صحتي وسلامتي1 | مهاراتي في الحياة1 | بيئتي | غذائي1 | صحتي وسلامتي
555,صحتي وسلامتي1,9,16,التربية الصحية والبدنية,3,,صحتي وسلامتي1 | مهاراتي في الحياة | مجتمعي | غذائي1 | صحتي و سلامتي
4157,صحتي و سلامتي,9,16,التربية الصحية والبدنية,3,,صحتي و سلامتي | مسكني | ملبسي | غذائي | مجتمعي
4624,صحتي وسلامتي,7,14,التربية الصحية والبدنية,3,,صحتي وسلامتي | شخصيتي | وقتي | صحتي وسلامتي1 | شخصيتي1
273,صحتي وسلامتي,9,50,التربية الصحية والبدنية,2,,صحتي وسلامتي | ألعابي وهواياتي | صحتي وغذائي | حيوانات | مناسبات
485,صحتي وسلامتي1,10,16,التربية الصحية والبدنية,2,,صحتي وسلامتي1 | مهاراتي في الحياة1 | بيئتي | ملبسي | غذائي1
4066,صحتي وسلامتي,10,16,التربية الصحية والبدنية,2,,صحتي وسلامتي | مسكني | ملبسي | غذائي | مجتمعي
4635,أسرتي,9,50,التربية الصحية والبدنية,2,,أسرتي | مدرستي | التهيئة والاستعداد | صحتي وسلامتي | ألعابي وهواياتي
544,مجال الرسم1,9,16,التربية الفنية,13,,مجال الرسم1 | مجال الزخرفة1 | مجال أشغال المعادن | مجال أشغال الخشب | مجال النسيج
4172,مجال الرسم,9,16,التربية الفنية,13,,مجال الرسم | مجال الزخرفة | مجال الطباعة | مجال الرسم1 | مجال الخزف
333,مجال الرسم والتلوين,8,21,التربية الفنية,11,,مجال الرسم والتلوين | مجال الزخرفة | مجال التشكيل المباشر بالخامات | مجال التشكيل بالخزف | مجال الرسم
4395,مجال الرسم,8,21,التربية الفنية,11,,مجال الرسم | مجال الرسم الزخرفي | مجال الرسم والتلوين | مجال النسيج | مجال الطباعة
105,مجال الرسم1,9,17,التربية الفنية,10,,مجال الرسم1 | مجال التشكيل بالخزف | مجال أشغال المعادن1 | مجال أشغال الخشب | مجال الطباعة
4239,مجال الرسم,9,17,التربية الفنية,10,,مجال الرسم | مجال الزخرفة | مجال الرسم1 | مجال التشكيل بالخزف | مجال أشغال الخشب
359,مجال الرسم1,8,18,التربية الفنية,9,,مجال الرسم1 | مجال الزخرفة1 | مجال التشكيل المباشر بالخامات | مجال التشكيل بالخزف | مجال الرسم
398,مجال الرسم1,9,19,التربية الفنية,9,,مجال الرسم1 | مجال الزخرفة1 | مجال أشغال المعادن | مجال أشغال الخشب | مجال النسيج
4401,مجال الرسم,8,18,التربية الفنية,9,,مجال الرسم | مجال الزخرفة | مجال الطباعة | مجال الرسم1 | مجال النسيج
4643,مجال الرسم,9,19,التربية الفنية,9,,مجال الرسم | مجال الزخرفة | مجال الطباعة | مجال الرسم1 | مجال الزخرفة1
235,مجال الرسم1,9,13,التربية الفنية,8,,مجال الرسم1 | مجال الزخرفة1 | مجال المعادن | مجال أشغال الخشب | فن رسوم الكرتون (الكاريكاتير)
297,مجال الرسم1,8,23,التربية الفنية,8,,مجال الرسم1 | مجال الزخرفة1 | مجال الطباعة1 | مجال التشكيل المباشر بالخامات | مجال الرسم
476,مجال الرسم1,9,20,التربية الفنية,8,,مجال الرسم1 | مجال الزخرفة1 | مجال أشغال المعادن | مجال أشغال الخشب | مجال النسيج
4013,مجال الرسم,9,13,التربية الفنية,8,,مجال الرسم | مجال الزخرفة | مجال الطباعة | مجال الرسم1 | مجال الزخرفة1
